Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
410942;3,60797E+12;24 HORAS SISTEMA DE SAUDE S/C LTDA;24 HORAS;Medicina de Grupo;RUA PROPICIA;187;;ENGENHO NOVO;Rio de Janeiro;RJ;20780160;21;25010935;25010935;saude24-horas@ig.com.br;MARCOS ANTONIO GARCIA PEREIRA;SOCIO GERENTE;;23/03/2000
419575;1,81088E+13;A LA SANTE ADMINISTRADORA DE BENEFICIO LTDA.;A LA SANTE;Administradora de Benefícios;RUA OLIMPIADAS;205;4º ANDAR;VILA OLIMPIA;São Paulo;SP;4551000;11;36833438;;;LARISSA DIAS DA SILVA;SOCIA ADMINISTRADORA;4;06/10/2014
320439;5,09286E+13;A M P ASSISTENCIA MEDICA PAULISTA S/C LTDA;A M P ASSISTENCIA MEDICA PAULISTA S/C LTDA;Medicina de Grupo;RUA CAV. ERNESTO GIULIANO;979;;OLIMPICO;São Caetano do Sul;SP;9570400;11;26354;26354;;MOYSES FRIEDHEIM;DIRETOR TESOUREIRO;;27/01/1999
406821;3,24691E+12;A ORAL OESTE'S ASSISTENCIA EM ODONTOLOGIA S/C LTDA;A ORAL OESTE'S ASSISTENCIA EM ODONTOLOGIA S/C LTDA;Odontologia de Grupo;RUA: BRIGADEIRO GAVIÃO PEIXOTO;132;;LAPA;São Paulo;SP;5078000;11;8330140;;;ANGELA RUGGIERO;;;03/08/1999
36622;9,38157E+11;A P ASSISTENCIA ODONTOLOGICA S/C LTDA;;Odontologia de Grupo;AVENIDA CARMINE FEOLA;61;;SAO DOMINGOS;Americana;SP;13465070;19;4617741;4617741;;ANA BEATRIZ TICLE FERRAZ;SÓCIO GERENTE;;08/01/1999
413763;4,22048E+12;A S ASSISTENCIA ODONTOLOGICA LTDA.;ODONTOREAL;Odontologia de Grupo;R MARIA DA GLÓRIA DE OLIVEIRA RODRIGUES;12;TÉRREO;MANGABEIRA I;João Pessoa;PB;58075000;83;32385425;32385425;odontoreale@ig.com.br;SEVERINA BRASILIANO TEIXEIRA;SOCIA ADMINISTRADORA;6;28/05/2001
410683;3,45981E+12;A. J. S. ODONTOLOGIA S/C LTDA;ODONTOMIL ASSISTENCIA ODONTOLOGICA;Odontologia de Grupo;RUA MAJOR QUEDINHO;111;7º ANDAR;BELA VISTA;São Paulo;SP;1050030;11;2595109;2595109;;ANTONIO JORGE DA SILVA;SÓCIO;;21/02/2000
344818;4,33632E+13;A.I.S. -  ASSISTENCIA ODONTOLOGICA REUNIDA S/S LTDA;;Odontologia de Grupo;RUA JERONIMO DA VEIGA;428;;ITAIM BIBI;São Paulo;SP;4536001;11;30796003;40339921;ais.odonto@terra.com.br;ANDRE TORTAMANO;GERENTE;4;16/12/1998
36252;6,68525E+13;A.M.G. ASSISTENCIA MÉDICA GERAL S/C. LTDA.;A.M.G. SAUDE;Medicina de Grupo;AV. GUILHERME GIORGE;82;;VILA CARRAO;São Paulo;SP;3422000;11;61918200;692217955;amgsaude@zaz.com.br;;;;28/12/1998
415791;6,37075E+12;A.M.P VENTURINI SERVIÇOS ODONTOLÓGICOS LTDA.;SOMA;Odontologia de Grupo;RUA VISCONDE DE INHAÚMA;468;SALA 69;CENTRO;Ribeirão Preto;SP;14010100;16;39312056;39312056;somaconvenio@gmail.com;MARCELO PETENUSCI VENTURINI;DIRETOR;5;25/10/2006
